file,out,in_lufs,out_lufs,in_peak,out_peak,in_noise,out_noise,in_dur,out_dur,reference_length
1.mp3,jcom_merc_alx_L1,-25.929679135998693,-21.788939429849815,-5.488999644610487,-1.4999999999999996,-69.66198340277641,-60.84356103847456,9.1814375,9.06,10
2.mp3,jcom_merc_alx_L2,-26.93275004036076,-21.64892527447147,-11.079499394053453,-1.4999999999999996,-61.09015412521414,-53.38022906317561,5.655083333333334,5.6200833333333335,6
3.mp3,jcom_merc_alx_L3,-29.236396413905382,-21.646548541422266,-12.91276439790672,-2.826687420322418,-63.290386799986095,-58.58418193361697,5.8240625,5.8240625,6
4.mp3,jcom_merc_alx_L4,-27.177425406279106,-21.70442411780791,-11.014210740983696,-1.4999999999999996,-60.575937964346416,-56.828678909848726,6.890520833333333,6.890520833333333,7
5.mp3,jcom_merc_alx_L5,-25.175688641454304,-21.82935031305614,-6.458364826498801,-1.500000000000159,-59.31378890828824,-53.71631765312223,13.443354166666667,13.443354166666667,14
6.mp3,jcom_merc_alx_L6,-24.31760320128013,-21.677536812582236,-2.5632052729887156,-1.4999999999999996,-59.16217101269999,-54.61622379921093,4.855625,4.855625,5
7.mp3,jcom_merc_alx_L7,-27.804453213406003,-22.02370752498653,-9.454638453997198,-1.5000000000000728,-84.1311232099761,-84.08598111390515,4.280979166666667,4.280979166666667,5
8.mp3,jcom_merc_alx_L8,-27.274943380133326,-21.64654854142226,-11.418009926879332,-1.503370720089556,-59.27539650953931,-54.79472239674352,5.2475,5.2475,6
9.mp3,jcom_merc_alx_L9,-26.599671936514138,-21.681337635977147,-9.153630076787378,-1.500000000000019,-74.9148246967072,-69.72854321439696,8.454583333333334,8.454583333333334,9
10.mp3,jcom_merc_alx_L10,-27.19737735892179,-21.85264586878442,-9.726802003172404,-1.4999999999999971,-78.49338382250315,-72.16446254498697,6.0529375,6.0529375,7
11.mp3,jcom_merc_alx_L11,-26.97546190335182,-21.64654854142227,-9.998096093972933,-1.9359628737445964,-58.37998737596389,-51.300155462008505,11.4664375,11.4664375,12
12.mp3,jcom_merc_alx_L12,-26.983516035637148,-21.656511197044757,-8.55658886557441,-1.5000000000000009,-55.60900053585863,-50.30761631034372,13.266708333333334,13.266708333333334,14
